,field_1,ID,region,locality,sites,Kulbicki,PROVINCE,xxx,temp,Richness,grav_total,Age_of_pro,Class,biomassare,ModelMode,OutFlow,Outdegree,btwdegree,SelfR,Inflow,Indegree,CorridorIn,grav_nei,IndegreeMP,InflowMPA,IndegreeNe,InflowNei,Larval_beh,FE,Netflow,Kulbicki.1,PROVINCE.1,Lon,Lat,prod.Jan,prod.Feb,prod.Mar,prod.Apr,prod.May,prod.Jun,prod.Jul,prod.Aug,prod.Sep,prod.Oct,prod.Nov,prod.Dec
1,1,V10025,sw_pacific,new_caledonia,new_caledonia_7,Central Pacific,Tropical Southwestern Pacific,165.96,25.92239262,111.352,4,0,Fished,48.58066279,pare,1436,54,203.3914891,0,156,6,0,13,3,78,31.16666667,918.3333333,passive,pare,0.804020101,Central Pacific,Tropical Southwestern Pacific,165.96,-21.06,291.7915955,274.3514099,302.2771301,294.7760315,333.7541504,362.9710388,376.2697144,362.5484924,328.6736145,297.6030273,294.2549438,267.4192505
2,2,V10025,sw_pacific,new_caledonia,new_caledonia_7,Central Pacific,Tropical Southwestern Pacific,165.96,25.92239262,111.352,4,0,Fished,48.58066279,pare5,1650,34,4879.455084,14,1426,29,3,107,7,242,29.79310345,1139.103448,active,pare,0.072821847,Central Pacific,Tropical Southwestern Pacific,165.96,-21.06,291.7915955,274.3514099,302.2771301,294.7760315,333.7541504,362.9710388,376.2697144,362.5484924,328.6736145,297.6030273,294.2549438,267.4192505
3,3,V10025,sw_pacific,new_caledonia,new_caledonia_7,Central Pacific,Tropical Southwestern Pacific,165.96,25.92239262,111.352,4,0,Fished,48.58066279,pare15,510,40,115.2607259,0,393,21,1,139,6,114,24.71428571,292.8571429,active,pare,0.129568106,Central Pacific,Tropical Southwestern Pacific,165.96,-21.06,291.7915955,274.3514099,302.2771301,294.7760315,333.7541504,362.9710388,376.2697144,362.5484924,328.6736145,297.6030273,294.2549438,267.4192505
4,4,V10025,sw_pacific,new_caledonia,new_caledonia_7,Central Pacific,Tropical Southwestern Pacific,165.96,25.92239262,111.352,4,0,Fished,48.58066279,crypto,395,49,56.01793706,0,15,3,0,9,2,10,27.66666667,243.3333333,passive,crypto,0.926829268,Central Pacific,Tropical Southwestern Pacific,165.96,-21.06,291.7915955,274.3514099,302.2771301,294.7760315,333.7541504,362.9710388,376.2697144,362.5484924,328.6736145,297.6030273,294.2549438,267.4192505
5,5,V10025,sw_pacific,new_caledonia,new_caledonia_7,Central Pacific,Tropical Southwestern Pacific,165.96,25.92239262,111.352,4,0,Fished,48.58066279,crypto5,2272,74,1737.908506,230,1482,36,0,183,11,311,51.88888889,1608.666667,active,crypto,0.210442195,Central Pacific,Tropical Southwestern Pacific,165.96,-21.06,291.7915955,274.3514099,302.2771301,294.7760315,333.7541504,362.9710388,376.2697144,362.5484924,328.6736145,297.6030273,294.2549438,267.4192505
6,6,V10025,sw_pacific,new_caledonia,new_caledonia_7,Central Pacific,Tropical Southwestern Pacific,165.96,25.92239262,111.352,4,0,Fished,48.58066279,crypto15,705,12,1585.833333,95,1064,18,0,66,6,314,7,375.1111111,active,crypto,-0.202939514,Central Pacific,Tropical Southwestern Pacific,165.96,-21.06,291.7915955,274.3514099,302.2771301,294.7760315,333.7541504,362.9710388,376.2697144,362.5484924,328.6736145,297.6030273,294.2549438,267.4192505
7,7,V10025,sw_pacific,new_caledonia,new_caledonia_7,Central Pacific,Tropical Southwestern Pacific,165.96,25.92239262,111.352,4,0,Fished,48.58066279,resid,890,54,210.3046546,0,90,6,0,13,3,45,31.16666667,770.8333333,passive,resid,0.816326531,Central Pacific,Tropical Southwestern Pacific,165.96,-21.06,291.7915955,274.3514099,302.2771301,294.7760315,333.7541504,362.9710388,376.2697144,362.5484924,328.6736145,297.6030273,294.2549438,267.4192505
8,8,V10025,sw_pacific,new_caledonia,new_caledonia_7,Central Pacific,Tropical Southwestern Pacific,165.96,25.92239262,111.352,4,0,Fished,48.58066279,resid15,841,122,1699.277883,35,941,72,4,380,31,409,86.91666667,558.4583333,active,resid,-0.056116723,Central Pacific,Tropical Southwestern Pacific,165.96,-21.06,291.7915955,274.3514099,302.2771301,294.7760315,333.7541504,362.9710388,376.2697144,362.5484924,328.6736145,297.6030273,294.2549438,267.4192505
9,9,V10025,sw_pacific,new_caledonia,new_caledonia_7,Central Pacific,Tropical Southwestern Pacific,165.96,25.92239262,111.352,4,0,Fished,48.58066279,resid35,106,68,64.34253254,0,2,2,0,19,1,1,40,89,active,resid,0.962962963,Central Pacific,Tropical Southwestern Pacific,165.96,-21.06,291.7915955,274.3514099,302.2771301,294.7760315,333.7541504,362.9710388,376.2697144,362.5484924,328.6736145,297.6030273,294.2549438,267.4192505
10,10,V10025,sw_pacific,new_caledonia,new_caledonia_7,Central Pacific,Tropical Southwestern Pacific,165.96,25.92239262,111.352,4,0,Fished,48.58066279,transi,390,19,0,0,0,0,0,0,0,0,0,0,passive,transi,1,Central Pacific,Tropical Southwestern Pacific,165.96,-21.06,291.7915955,274.3514099,302.2771301,294.7760315,333.7541504,362.9710388,376.2697144,362.5484924,328.6736145,297.6030273,294.2549438,267.4192505
11,11,V10025,sw_pacific,new_caledonia,new_caledonia_7,Central Pacific,Tropical Southwestern Pacific,165.96,25.92239262,111.352,4,0,Fished,48.58066279,transi15,165,37,1094.081461,0,12,3,0,6,1,3,8,36,active,transi,0.86440678,Central Pacific,Tropical Southwestern Pacific,165.96,-21.06,291.7915955,274.3514099,302.2771301,294.7760315,333.7541504,362.9710388,376.2697144,362.5484924,328.6736145,297.6030273,294.2549438,267.4192505
12,12,V10025,sw_pacific,new_caledonia,new_caledonia_7,Central Pacific,Tropical Southwestern Pacific,165.96,25.92239262,111.352,4,0,Fished,48.58066279,transi35,200,18,0,0,0,0,0,0,0,0,0,0,active,transi,1,Central Pacific,Tropical Southwestern Pacific,165.96,-21.06,291.7915955,274.3514099,302.2771301,294.7760315,333.7541504,362.9710388,376.2697144,362.5484924,328.6736145,297.6030273,294.2549438,267.4192505
13,13,V10026,sw_pacific,new_caledonia,new_caledonia_9,Central Pacific,Tropical Southwestern Pacific,166.68,25.66932856,129.559,5,0,Fished,64.00851649,pare,1956,71,609.8012478,0,160,6,0,12,5,132,59.66666667,2352,passive,pare,0.848771267,Central Pacific,Tropical Southwestern Pacific,166.68,-21.62,274.5902405,270.2580566,266.0816956,282.8177795,322.6887817,351.4958496,369.2581482,370.6992798,332.4284058,305.9552002,295.0844421,273.5774231
14,14,V10026,sw_pacific,new_caledonia,new_caledonia_9,Central Pacific,Tropical Southwestern Pacific,166.68,25.66932856,129.559,5,0,Fished,64.00851649,pare5,2050,39,24.1350723,44,534,24,1,89,10,134,29.79166667,1266.416667,active,pare,0.586687307,Central Pacific,Tropical Southwestern Pacific,166.68,-21.62,274.5902405,270.2580566,266.0816956,282.8177795,322.6887817,351.4958496,369.2581482,370.6992798,332.4284058,305.9552002,295.0844421,273.5774231
15,15,V10026,sw_pacific,new_caledonia,new_caledonia_9,Central Pacific,Tropical Southwestern Pacific,166.68,25.66932856,129.559,5,0,Fished,64.00851649,pare15,705,40,370.8648677,0,48,9,0,43,2,9,19.77777778,237.3333333,active,pare,0.87250996,Central Pacific,Tropical Southwestern Pacific,166.68,-21.62,274.5902405,270.2580566,266.0816956,282.8177795,322.6887817,351.4958496,369.2581482,370.6992798,332.4284058,305.9552002,295.0844421,273.5774231
16,16,V10026,sw_pacific,new_caledonia,new_caledonia_9,Central Pacific,Tropical Southwestern Pacific,166.68,25.66932856,129.559,5,0,Fished,64.00851649,crypto,630,68,469.2881688,0,70,14,1,47,5,25,45.35714286,1113.571429,passive,crypto,0.8,Central Pacific,Tropical Southwestern Pacific,166.68,-21.62,274.5902405,270.2580566,266.0816956,282.8177795,322.6887817,351.4958496,369.2581482,370.6992798,332.4284058,305.9552002,295.0844421,273.5774231
17,17,V10026,sw_pacific,new_caledonia,new_caledonia_9,Central Pacific,Tropical Southwestern Pacific,166.68,25.66932856,129.559,5,0,Fished,64.00851649,crypto5,2418,90,2210.15475,104,1064,45,2,166,20,175,58.68888889,1621.177778,active,crypto,0.388856979,Central Pacific,Tropical Southwestern Pacific,166.68,-21.62,274.5902405,270.2580566,266.0816956,282.8177795,322.6887817,351.4958496,369.2581482,370.6992798,332.4284058,305.9552002,295.0844421,273.5774231
18,18,V10026,sw_pacific,new_caledonia,new_caledonia_9,Central Pacific,Tropical Southwestern Pacific,166.68,25.66932856,129.559,5,0,Fished,64.00851649,crypto15,698,15,157,0,44,1,0,2,1,44,11,679,active,crypto,0.881401617,Central Pacific,Tropical Southwestern Pacific,166.68,-21.62,274.5902405,270.2580566,266.0816956,282.8177795,322.6887817,351.4958496,369.2581482,370.6992798,332.4284058,305.9552002,295.0844421,273.5774231
19,19,V10026,sw_pacific,new_caledonia,new_caledonia_9,Central Pacific,Tropical Southwestern Pacific,166.68,25.66932856,129.559,5,0,Fished,64.00851649,resid,1340,71,617.6415865,0,100,6,0,12,5,80,59.66666667,2913.333333,passive,resid,0.861111111,Central Pacific,Tropical Southwestern Pacific,166.68,-21.62,274.5902405,270.2580566,266.0816956,282.8177795,322.6887817,351.4958496,369.2581482,370.6992798,332.4284058,305.9552002,295.0844421,273.5774231
20,20,V10026,sw_pacific,new_caledonia,new_caledonia_9,Central Pacific,Tropical Southwestern Pacific,166.68,25.66932856,129.559,5,0,Fished,64.00851649,resid15,915,124,1320.876563,5,181,51,2,172,25,83,78.7254902,580.1960784,active,resid,0.669708029,Central Pacific,Tropical Southwestern Pacific,166.68,-21.62,274.5902405,270.2580566,266.0816956,282.8177795,322.6887817,351.4958496,369.2581482,370.6992798,332.4284058,305.9552002,295.0844421,273.5774231
21,21,V10026,sw_pacific,new_caledonia,new_caledonia_9,Central Pacific,Tropical Southwestern Pacific,166.68,25.66932856,129.559,5,0,Fished,64.00851649,resid35,154,91,118.7287932,0,4,4,0,14,1,1,27,61.25,active,resid,0.949367089,Central Pacific,Tropical Southwestern Pacific,166.68,-21.62,274.5902405,270.2580566,266.0816956,282.8177795,322.6887817,351.4958496,369.2581482,370.6992798,332.4284058,305.9552002,295.0844421,273.5774231
22,22,V10026,sw_pacific,new_caledonia,new_caledonia_9,Central Pacific,Tropical Southwestern Pacific,166.68,25.66932856,129.559,5,0,Fished,64.00851649,transi,255,12,487.4279558,0,30,2,1,2,0,0,14,637.5,passive,transi,0.789473684,Central Pacific,Tropical Southwestern Pacific,166.68,-21.62,274.5902405,270.2580566,266.0816956,282.8177795,322.6887817,351.4958496,369.2581482,370.6992798,332.4284058,305.9552002,295.0844421,273.5774231
23,23,V10026,sw_pacific,new_caledonia,new_caledonia_9,Central Pacific,Tropical Southwestern Pacific,166.68,25.66932856,129.559,5,0,Fished,64.00851649,transi15,264,44,281.3886011,0,15,4,1,19,0,0,4.25,20.25,active,transi,0.892473118,Central Pacific,Tropical Southwestern Pacific,166.68,-21.62,274.5902405,270.2580566,266.0816956,282.8177795,322.6887817,351.4958496,369.2581482,370.6992798,332.4284058,305.9552002,295.0844421,273.5774231
24,24,V10026,sw_pacific,new_caledonia,new_caledonia_9,Central Pacific,Tropical Southwestern Pacific,166.68,25.66932856,129.559,5,0,Fished,64.00851649,transi35,264,26,0,0,0,0,0,0,0,0,0,0,active,transi,1,Central Pacific,Tropical Southwestern Pacific,166.68,-21.62,274.5902405,270.2580566,266.0816956,282.8177795,322.6887817,351.4958496,369.2581482,370.6992798,332.4284058,305.9552002,295.0844421,273.5774231
25,25,V10094,sw_pacific,new_caledonia,new_caledonia_12,Central Pacific,Tropical Southwestern Pacific,165.88,25.01223383,91.282,9,0,Fished,107.1845271,pare,1786,60,1392.319661,26,1570,59,3,492,26,700,42.11864407,1149.084746,passive,pare,0.064362336,Central Pacific,Tropical Southwestern Pacific,165.88,-22.02,432.4567566,392.1371155,432.5998535,484.138916,463.6326599,488.9221191,541.9911499,547.3294067,555.7877808,493.6497803,462.1981506,409.7989197
26,26,V10094,sw_pacific,new_caledonia,new_caledonia_12,Central Pacific,Tropical Southwestern Pacific,165.88,25.01223383,91.282,9,0,Fished,107.1845271,pare5,1918,57,7851.743472,2,2396,87,16,643,37,1206,47.47126437,1421.195402,active,pare,-0.11080204,Central Pacific,Tropical Southwestern Pacific,165.88,-22.02,432.4567566,392.1371155,432.5998535,484.138916,463.6326599,488.9221191,541.9911499,547.3294067,555.7877808,493.6497803,462.1981506,409.7989197
27,27,V10094,sw_pacific,new_caledonia,new_caledonia_12,Central Pacific,Tropical Southwestern Pacific,165.88,25.01223383,91.282,9,0,Fished,107.1845271,pare15,1056,58,426.498337,3,1020,58,11,667,17,402,40.10344828,820.6551724,active,pare,0.01734104,Central Pacific,Tropical Southwestern Pacific,165.88,-22.02,432.4567566,392.1371155,432.5998535,484.138916,463.6326599,488.9221191,541.9911499,547.3294067,555.7877808,493.6497803,462.1981506,409.7989197
28,28,V10094,sw_pacific,new_caledonia,new_caledonia_12,Central Pacific,Tropical Southwestern Pacific,165.88,25.01223383,91.282,9,0,Fished,107.1845271,crypto,1330,94,11585.1354,25,870,88,11,678,30,300,61.44318182,1036.875,passive,crypto,0.209090909,Central Pacific,Tropical Southwestern Pacific,165.88,-22.02,432.4567566,392.1371155,432.5998535,484.138916,463.6326599,488.9221191,541.9911499,547.3294067,555.7877808,493.6497803,462.1981506,409.7989197
